"icao","tipo_reporte","semana","especies_list","contagem"
"SBAE","colisão",1,"",0
"SBAE","colisão",2,"0 Não identificada",1
"SBAE","colisão",3,"",0
"SBAE","colisão",4,"",0
"SBAE","colisão",5,"",0
"SBAE","colisão",6,"0 Não identificada",1
"SBAE","colisão",7,"",0
"SBAE","colisão",8,"",0
"SBAE","colisão",9,"",0
"SBAE","colisão",10,"",0
"SBAE","colisão",11,"",0
"SBAE","colisão",12,"",0
"SBAE","colisão",13,"",0
"SBAE","colisão",14,"",0
"SBAE","colisão",15,"",0
"SBAE","colisão",16,"",0
"SBAE","colisão",17,"",0
"SBAE","colisão",18,"",0
"SBAE","colisão",19,"",0
"SBAE","colisão",20,"",0
"SBAE","colisão",21,"",0
"SBAE","colisão",22,"",0
"SBAE","colisão",23,"",0
"SBAE","colisão",24,"",0
"SBAE","colisão",25,"",0
"SBAE","colisão",26,"",0
"SBAE","colisão",27,"",0
"SBAE","colisão",28,"",0
"SBAE","colisão",29,"",0
"SBAE","colisão",30,"",0
"SBAE","colisão",31,"",0
"SBAE","colisão",32,"",0
"SBAE","colisão",33,"",0
"SBAE","colisão",34,"",0
"SBAE","colisão",35,"",0
"SBAE","colisão",36,"",0
"SBAE","colisão",37,"",0
"SBAE","colisão",38,"",0
"SBAE","colisão",39,"",0
"SBAE","colisão",40,"",0
"SBAE","colisão",41,"",0
"SBAE","colisão",42,"",0
"SBAE","colisão",43,"",0
"SBAE","colisão",44,"",0
"SBAE","colisão",45,"",0
"SBAE","colisão",46,"",0
"SBAE","colisão",47,"",0
"SBAE","colisão",48,"",0
"SBAE","colisão",49,"",0
"SBAE","colisão",50,"",0
"SBAE","colisão",51,"",0
"SBAE","colisão",52,"",0
"SBAE","colisão",53,"",0
"SBAF","avistamento",1,"",0
"SBAF","avistamento",2,"",0
"SBAF","avistamento",3,"",0
"SBAF","avistamento",4,"Urubus / Família Cathartidae",1
"SBAF","avistamento",5,"",0
"SBAF","avistamento",6,"",0
"SBAF","avistamento",7,"",0
"SBAF","avistamento",8,"",0
"SBAF","avistamento",9,"",0
"SBAF","avistamento",10,"",0
"SBAF","avistamento",11,"",0
"SBAF","avistamento",12,"",0
"SBAF","avistamento",13,"",0
"SBAF","avistamento",14,"",0
"SBAF","avistamento",15,"",0
"SBAF","avistamento",16,"",0
"SBAF","avistamento",17,"",0
"SBAF","avistamento",18,"",0
"SBAF","avistamento",19,"",0
"SBAF","avistamento",20,"",0
"SBAF","avistamento",21,"",0
"SBAF","avistamento",22,"",0
"SBAF","avistamento",23,"",0
"SBAF","avistamento",24,"",0
"SBAF","avistamento",25,"",0
"SBAF","avistamento",26,"",0
"SBAF","avistamento",27,"Quero-quero/tetéu (Vanellus chilensis)",1
"SBAF","avistamento",28,"",0
"SBAF","avistamento",29,"",0
"SBAF","avistamento",30,"",0
"SBAF","avistamento",31,"",0
"SBAF","avistamento",32,"Urubus / Família Cathartidae,Urubu-de-cabeça-vermelha (Cathartes aura),Urubu-de-cabeça-vermelha (Cathartes aura),Urubu-de-cabeça-vermelha (Cathartes aura)",4
"SBAF","avistamento",33,"Urubus / Família Cathartidae",1
"SBAF","avistamento",34,"",0
"SBAF","avistamento",35,"",0
"SBAF","avistamento",36,"",0
"SBAF","avistamento",37,"",0
"SBAF","avistamento",38,"",0
"SBAF","avistamento",39,"",0
"SBAF","avistamento",40,"",0
"SBAF","avistamento",41,"",0
"SBAF","avistamento",42,"",0
"SBAF","avistamento",43,"",0
"SBAF","avistamento",44,"",0
"SBAF","avistamento",45,"",0
"SBAF","avistamento",46,"",0
"SBAF","avistamento",47,"",0
"SBAF","avistamento",48,"",0
"SBAF","avistamento",49,"",0
"SBAF","avistamento",50,"",0
"SBAF","avistamento",51,"",0
"SBAF","avistamento",52,"",0
"SBAF","avistamento",53,"",0
"SBAF","colisão",1,"",0
"SBAF","colisão",2,"",0
"SBAF","colisão",3,"",0
"SBAF","colisão",4,"",0
"SBAF","colisão",5,"",0
"SBAF","colisão",6,"",0
"SBAF","colisão",7,"",0
"SBAF","colisão",8,"",0
"SBAF","colisão",9,"",0
"SBAF","colisão",10,"",0
"SBAF","colisão",11,"",0
"SBAF","colisão",12,"",0
"SBAF","colisão",13,"",0
"SBAF","colisão",14,"",0
"SBAF","colisão",15,"",0
"SBAF","colisão",16,"",0
"SBAF","colisão",17,"",0
"SBAF","colisão",18,"",0
"SBAF","colisão",19,"",0
"SBAF","colisão",20,"",0
"SBAF","colisão",21,"",0
"SBAF","colisão",22,"",0
"SBAF","colisão",23,"",0
"SBAF","colisão",24,"",0
"SBAF","colisão",25,"",0
"SBAF","colisão",26,"",0
"SBAF","colisão",27,"",0
"SBAF","colisão",28,"",0
"SBAF","colisão",29,"Quero-quero/tetéu (Vanellus chilensis)",1
"SBAF","colisão",30,"",0
"SBAF","colisão",31,"",0
"SBAF","colisão",32,"",0
"SBAF","colisão",33,"",0
"SBAF","colisão",34,"",0
"SBAF","colisão",35,"",0
"SBAF","colisão",36,"",0
"SBAF","colisão",37,"",0
"SBAF","colisão",38,"",0
"SBAF","colisão",39,"",0
"SBAF","colisão",40,"",0
"SBAF","colisão",41,"0 Não identificada",1
"SBAF","colisão",42,"",0
"SBAF","colisão",43,"",0
"SBAF","colisão",44,"",0
"SBAF","colisão",45,"",0
"SBAF","colisão",46,"",0
"SBAF","colisão",47,"",0
"SBAF","colisão",48,"",0
"SBAF","colisão",49,"",0
"SBAF","colisão",50,"",0
"SBAF","colisão",51,"",0
"SBAF","colisão",52,"",0
"SBAF","colisão",53,"",0
"SBAN","avistamento",1,"",0
"SBAN","avistamento",2,"Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus)",1
"SBAN","avistamento",3,"Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus)",3
"SBAN","avistamento",4,"Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus)",1
"SBAN","avistamento",5,"Urubus / Família Cathartidae,Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus)",2
"SBAN","avistamento",6,"Quero-quero/tetéu (Vanellus chilensis)",1
"SBAN","avistamento",7,"0 Não identificada",1
"SBAN","avistamento",8,"",0
"SBAN","avistamento",9,"",0
"SBAN","avistamento",10,"Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),0 Não identificada",2
"SBAN","avistamento",11,"0 Não identificada,Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),0 Não identificada,Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),0 Não identificada,Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),0 Não identificada,0 Não identificada,Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus)",9
"SBAN","avistamento",12,"Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus)",5
"SBAN","avistamento",13,"Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus)",1
"SBAN","avistamento",14,"0 Não identificada,0 Não identificada",2
"SBAN","avistamento",15,"Seriema (Cariama cristata),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus)",7
"SBAN","avistamento",16,"Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus)",3
"SBAN","avistamento",17,"Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),0 Não identificada",3
"SBAN","avistamento",18,"Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus)",3
"SBAN","avistamento",19,"0 Não identificada,Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus)",3
"SBAN","avistamento",20,"Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),0 Não identificada,Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus)",5
"SBAN","avistamento",21,"Seriema (Cariama cristata)",1
"SBAN","avistamento",22,"Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Quero-quero/tetéu (Vanellus chilensis)",2
"SBAN","avistamento",23,"Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus)",3
"SBAN","avistamento",24,"",0
"SBAN","avistamento",25,"Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus)",3
"SBAN","avistamento",26,"Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Seriema (Cariama cristata),Urubus / Família Cathartidae",3
"SBAN","avistamento",27,"0 Não identificada,Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus)",5
"SBAN","avistamento",28,"Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),0 Não identificada",7
"SBAN","avistamento",29,"Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),0 Não identificada,0 Não identificada",4
"SBAN","avistamento",30,"Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),0 Não identificada,Seriema (Cariama cristata)",4
"SBAN","avistamento",31,"",0
"SBAN","avistamento",32,"Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus)",1
"SBAN","avistamento",33,"Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus)",1
"SBAN","avistamento",34,"Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),0 Não identificada",2
