"","Aeroporto","week","sum_ObxAb","sum_ObxAbxMassxFlock","sum_ObxAbxS","Voos_como_Destino","Voos_como_Origem","Total_Voos","prod_ObxAb","prod_ObxAbxMassxFlock","prod_ObxAbxS","norm_sum_ObxAb","norm_sum_ObxAbxMassxFlock","norm_sum_ObxAbxS","norm_Total_Voos","rel_product_ObxAb","rel_product_ObxAbxMassxFlock","rel_product_ObxAbxS","real_mul_ObxAb","real_mul_ObxAbxMassxFlock","real_mul_ObxAbxS","real_product_ObxAb","real_product_ObxAbxMassxFlock","real_product_ObxAbxS","rel_product_ObxAb_norm","rel_product_ObxAbxMassxFlock_norm","rel_product_ObxAbxS_norm"
"1","SBAC",1,4.55974794861873,9583.39886214604,238.136782529104,3,3,6,27.3584876917124,57500.3931728762,1428.82069517463,0.37576007522326,0.447707816541668,0.452396284137126,0.333333333333333,0.125253358407753,0.149235938847223,0.150798761379042,27.3584876917124,57500.3931728762,1428.82069517463,0.355678479327439,0.420467071133698,0.427699205293698,0.210157071270232,0.273654373534937,0.273308799523366
"2","SBAC",2,5.24677992362698,11319.8014591305,286.558708580579,3,3,6,31.4806795417619,67918.8087547828,1719.35225148347,0.5837809815973,0.665117564304196,0.671709370801412,0.333333333333333,0.194593660532433,0.221705854768065,0.223903123600471,31.4806795417619,67918.8087547828,1719.35225148347,0.459783628097002,0.551349404913897,0.569579404264017,0.326500097922472,0.406542668369535,0.405803690701144
"3","SBAC",3,5.98888143562281,12820.4401344736,327.615918952128,3,3,6,35.9332886137368,76922.6408068416,1965.69551371277,0.808475951791466,0.853008020386007,0.85766611128376,0.333333333333333,0.269491983930489,0.284336006795336,0.285888703761253,35.9332886137368,76922.6408068416,1965.69551371277,0.572233399168452,0.664460898948075,0.689880384660569,0.452168682689231,0.52138775963784,0.518146818367293
"4","SBAC",4,6.04525428913673,12610.2826198453,320.835338586298,3,3,6,36.2715257348204,75661.6957190717,1925.01203151779,0.825544636378842,0.826694829928281,0.826955436788395,0.333333333333333,0.275181545459614,0.275564943309427,0.275651812262798,36.2715257348204,75661.6957190717,1925.01203151779,0.580775511493808,0.64862015670099,0.670012730275744,0.461714946382059,0.505304235106067,0.499593399886214
"5","SBAC",5,6.62142913188986,13994.4319069879,359.041681722895,3,3,6,39.7285747913392,83966.5914419274,2154.25009033737,1,1,1,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,39.7285747913392,83966.5914419274,2154.25009033737,0.668082609131257,0.752951196815789,0.781960436783459,0.559285259737523,0.611234299299905,0.604135818764866
"6","SBAC",6,6.33604079991204,13770.8017962639,356.407356880186,3,3,6,38.0162447994723,82624.8107775835,2138.44414128111,0.913589553840068,0.971999946297566,0.988068588764583,0.333333333333333,0.304529851280023,0.323999982099189,0.329356196254861,38.0162447994723,82624.8107775835,2138.44414128111,0.62483805016107,0.736094949971934,0.774241649793475,0.51095717091293,0.594119706094738,0.596927625869137
"7","SBAC",7,5.76596672885389,12238.5393121362,317.267969687903,4,3,7,40.3617671019773,85669.7751849533,2220.87578781532,0.740981393993605,0.780149968211417,0.81079807279702,0.5,0.370490696996802,0.390074984105709,0.40539903639851,40.3617671019773,85669.7751849533,2220.87578781532,0.684073757068229,0.774347604109318,0.814496892839403,0.621629957100577,0.715281628752823,0.734748236343305
"8","SBAC",8,5.47699487259391,11129.2651503137,284.882769767736,4,4,8,43.8159589807513,89034.1212025093,2279.06215814189,0.653485921231847,0.641261086024674,0.664118691452674,0.666666666666667,0.435657280821231,0.427507390683116,0.442745794301783,43.8159589807513,89034.1212025093,2279.06215814189,0.771308697240669,0.816612520013283,0.84291202923346,0.730970086381935,0.783921541169176,0.802435778835626
"9","SBAC",9,5.28713172944731,10363.20193591,260.07350410066,5,5,10,52.8713172944731,103632.0193591,2600.7350410066,0.59599878153372,0.545344614520367,0.55175230962935,1,0.59599878153372,0.545344614520367,0.55175230962935,52.8713172944731,103632.0193591,2600.7350410066,1,1,1,1,1,1
"10","SBAC",10,4.91983829122747,9351.44110053714,230.015716570969,5,5,10,49.1983829122747,93514.4110053714,2300.15716570969,0.484788944578443,0.418665082713389,0.415614268477742,1,0.484788944578443,0.418665082713389,0.415614268477742,49.1983829122747,93514.4110053714,2300.15716570969,0.907240760695061,0.872896585550906,0.853213711808068,0.813405932359302,0.767707375420966,0.753262399131485
"11","SBAC",11,4.9281692782953,9038.6094280974,220.797940761917,5,5,10,49.281692782953,90386.0942809739,2207.97940761917,0.487311417394677,0.379496369699845,0.37386502325537,1,0.487311417394677,0.379496369699845,0.37386502325537,49.281692782953,90386.0942809739,2207.97940761917,0.909344735181556,0.833596810026129,0.808198984923742,0.817638277951926,0.695883592861028,0.677595755795786
"12","SBAC",12,4.85025881003252,8084.80807177436,192.119990749451,3,3,6,29.1015528601951,48508.8484306462,1152.71994449671,0.463721531023149,0.260073769979092,0.243976556411813,0.333333333333333,0.154573843674383,0.0866912566596973,0.0813255188039378,29.1015528601951,48508.8484306462,1152.71994449671,0.399699249170491,0.307509937594514,0.292866246217834,0.259352616924163,0.158966008559455,0.147394976667283
"13","SBAC",51,3.31872275019136,6007.65755646034,138.252640868273,2,2,4,13.2748910007655,24030.6302258414,553.010563473092,0,0,0,0,0,0,0,13.2748910007655,24030.6302258414,553.010563473092,0,0,0,0,0,0
"14","SBAC",52,3.80483059899652,7450.50912928498,178.983735088635,2,2,4,15.2193223959861,29802.0365171399,715.934940354539,0.147184700250333,0.180655106742728,0.184479691848387,0,0,0,0,15.2193223959861,29802.0365171399,715.934940354539,0.0491062345070676,0.0725038388668926,0.0795636222885269,0,0,0
"15","SBAE",1,5.78354703483398,10130.913383224,272.63493449046,53,52,105,607.272438657568,1063745.90523852,28626.6681214983,0.159997480437336,0.0727917120607875,0.079394051984494,0.904761904761905,0.14475962515759,0.0658591680549982,0.0718327137002564,607.272438657568,1063745.90523852,28626.6681214983,0.921364084251114,0.914649236946643,0.913839195636971,0.727778861150353,0.329187021789946,0.35386897332209
"16","SBAE",2,5.68091830949406,10010.9595743338,269.66338345849,57,58,115,653.305605591817,1151260.35104839,31011.2890977264,0.13698339888469,0.0541416169848083,0.0622791599447063,1,0.13698339888469,0.0541416169848083,0.0622791599447063,653.305605591817,1151260.35104839,31011.2890977264,1,1,1,0.688683891853646,0.270618627238617,0.306805371170556
"17","SBAE",3,5.73367477444706,10223.1302948957,275.388341886627,51,51,102,584.8348269936,1042759.29007936,28089.6108724359,0.148813825335337,0.0871293490745859,0.0952525278511218,0.876190476190476,0.130389256484295,0.0763419058558277,0.083459357736221,584.8348269936,1042759.29007936,28089.6108724359,0.883035151919907,0.894181489008971,0.894434315352221,0.655531847965733,0.381583390264844,0.411145224994223
"18","SBAE",4,5.7650943081895,10193.406923728,274.377367761644,47,47,94,541.918864969813,958180.250830436,25791.4725695945,0.155859530224488,0.0825080393939328,0.0894297394090115,0.8,0.12468762417959,0.0660064315151462,0.0715437915272092,541.918864969813,958180.250830436,25791.4725695945,0.809724185094506,0.811693558343223,0.81139829131141,0.626866897632385,0.329923095768653,0.352445658129337
