"Aeroporto","Semana","Voos_como_Destino","Voos_como_Origem","Total_Voos"
"SBVT",1,177,189,366
"SBVT",2,183,198,381
"SBVT",3,189,198,387
"SBVT",4,191,192,383
"SBVT",5,184,189,373
"SBVT",6,186,190,376
"SBVT",7,181,187,368
"SBVT",8,168,166,334
"SBVT",9,186,185,371
"SBVT",10,178,187,365
"SBVT",11,175,184,359
"SBVT",12,85,94,179
"SBVT",13,34,27,61
"SBVT",14,17,15,32
"SBVT",15,12,15,27
"SBVT",16,11,15,26
"SBVT",17,16,18,34
"SBVT",18,12,15,27
"SBVT",19,16,16,32
"SBVT",20,14,13,27
"SBVT",21,21,18,39
"SBVT",22,19,19,38
"SBVT",23,27,30,57
"SBVT",24,28,31,59
"SBVT",25,33,40,73
"SBVT",26,38,43,81
"SBVT",27,39,42,81
"SBVT",28,42,44,86
"SBVT",29,47,50,97
"SBVT",30,44,45,89
"SBVT",31,46,53,99
"SBVT",32,56,57,113
"SBVT",33,61,60,121
"SBVT",34,66,68,134
"SBVT",35,63,69,132
"SBVT",36,72,89,161
"SBVT",37,77,96,173
"SBVT",38,85,89,174
"SBVT",39,84,84,168
"SBVT",40,84,81,165
"SBVT",41,78,81,159
"SBVT",42,89,91,180
"SBVT",43,85,83,168
"SBVT",44,88,90,178
"SBVT",45,107,99,206
"SBVT",46,112,107,219
"SBVT",47,104,105,209
"SBVT",48,115,114,229
"SBVT",49,121,124,245
"SBVT",50,120,123,243
"SBVT",51,126,127,253
"SBVT",52,115,115,230
"SBVT",53,34,36,70
"SBJV",1,32,21,53
"SBJV",2,37,26,63
"SBJV",3,37,30,67
"SBJV",4,37,36,73
"SBJV",5,32,32,64
"SBJV",6,25,27,52
"SBJV",7,30,32,62
"SBJV",8,27,26,53
"SBJV",9,30,30,60
"SBJV",10,32,34,66
"SBJV",11,27,29,56
"SBJV",12,11,13,24
"SBJV",13,1,1,2
"SBJV",14,0,0,0
"SBJV",15,0,0,0
"SBJV",16,0,0,0
"SBJV",17,0,0,0
"SBJV",18,0,0,0
"SBJV",19,0,0,0
"SBJV",20,0,0,0
"SBJV",21,0,0,0
"SBJV",22,0,0,0
"SBJV",23,0,0,0
"SBJV",24,0,0,0
"SBJV",25,0,0,0
"SBJV",26,0,0,0
"SBJV",27,2,2,4
"SBJV",28,3,3,6
"SBJV",29,2,2,4
"SBJV",30,2,2,4
"SBJV",31,3,3,6
"SBJV",32,6,6,12
"SBJV",33,5,5,10
"SBJV",34,10,11,21
"SBJV",35,8,8,16
"SBJV",36,12,9,21
"SBJV",37,12,11,23
"SBJV",38,12,11,23
"SBJV",39,12,10,22
"SBJV",40,11,13,24
"SBJV",41,12,13,25
"SBJV",42,14,17,31
"SBJV",43,14,16,30
"SBJV",44,12,15,27
"SBJV",45,13,18,31
"SBJV",46,12,20,32
"SBJV",47,13,16,29
"SBJV",48,13,18,31
"SBJV",49,16,12,28
"SBJV",50,13,14,27
"SBJV",51,14,11,25
"SBJV",52,15,11,26
"SBJV",53,5,3,8
"SBDO",1,13,19,32
"SBDO",2,14,20,34
"SBDO",3,13,19,32
"SBDO",4,16,22,38
"SBDO",5,15,20,35
"SBDO",6,11,17,28
"SBDO",7,13,19,32
"SBDO",8,13,19,32
"SBDO",9,13,20,33
"SBDO",10,18,25,43
"SBDO",11,16,23,39
"SBDO",12,8,11,19
"SBDO",13,0,0,0
"SBDO",14,0,0,0
"SBDO",15,0,0,0
"SBDO",16,0,0,0
"SBDO",17,0,0,0
"SBDO",18,0,0,0
"SBDO",19,0,0,0
"SBDO",20,0,0,0
"SBDO",21,0,0,0
"SBDO",22,0,0,0
"SBDO",23,0,0,0
"SBDO",24,0,0,0
"SBDO",25,0,0,0
"SBDO",26,0,0,0
"SBDO",27,0,0,0
"SBDO",28,0,0,0
"SBDO",29,0,0,0
"SBDO",30,0,0,0
"SBDO",31,2,2,4
"SBDO",32,5,5,10
"SBDO",33,5,5,10
"SBDO",34,5,5,10
"SBDO",35,5,5,10
"SBDO",36,5,5,10
"SBDO",37,4,4,8
"SBDO",38,4,4,8
"SBDO",39,3,3,6
"SBDO",40,5,6,11
"SBDO",41,5,5,10
"SBDO",42,5,6,11
"SBDO",43,5,5,10
"SBDO",44,4,4,8
"SBDO",45,8,8,16
"SBDO",46,8,8,16
"SBDO",47,9,9,18
"SBDO",48,10,10,20
"SBDO",49,11,11,22
"SBDO",50,10,10,20
"SBDO",51,11,11,22
"SBDO",52,10,10,20
"SBDO",53,2,2,4
"SBCR",1,4,4,8
"SBCR",2,5,5,10
"SBCR",3,5,5,10
"SBCR",4,5,5,10
"SBCR",5,5,5,10
"SBCR",6,5,5,10
"SBCR",7,5,5,10
"SBCR",8,4,4,8
"SBCR",9,5,5,10
"SBCR",10,5,5,10
"SBCR",11,5,5,10
"SBCR",12,2,2,4
"SBCR",13,0,0,0
"SBCR",14,0,0,0
"SBCR",15,0,0,0
"SBCR",16,0,0,0
"SBCR",17,0,0,0
"SBCR",18,0,0,0
"SBCR",19,0,0,0
"SBCR",20,0,0,0
"SBCR",21,0,0,0
"SBCR",22,0,0,0
"SBCR",23,0,0,0
"SBCR",24,0,0,0
"SBCR",25,0,0,0
"SBCR",26,0,0,0
"SBCR",27,0,0,0
"SBCR",28,0,0,0
"SBCR",29,0,0,0
"SBCR",30,0,0,0
"SBCR",31,0,0,0
"SBCR",32,0,0,0
"SBCR",33,0,0,0
"SBCR",34,0,0,0
"SBCR",35,0,0,0
"SBCR",36,0,0,0
